曲名,PACK,カテゴリ,アーティスト,BPM,実装日,4N,4H,4M,4S,5N,5H,5M,5S,6N,6H,6M,6S,8N,8H,8M,8S,備考
Voyage [makou],TECHNIKA,TECHNIKA 1,makou,125,2020/09/24,6,9,-,-,5,10,-,-,3,7,11,-,5,11,-,-,
Airwave,TECHNIKA 2,TECHNIKA 2,ReX,150,2020/09/24,5,9,12,12,6,9,13,-,7,-,14,13,7,11,13,-,
BEE-U-TIFUL,TECHNIKA 2,TECHNIKA 2,FIRST AID,170,2020/09/24,6,-,11,-,7,10,12,10,6,11,13,-,6,10,13,-,
Burn it Down,TECHNIKA 2,TECHNIKA 2,P'sycho-Remi,150,2020/09/24,4,7,9,-,4,9,-,-,4,8,11,-,5,7,12,-,
Cosmic Fantastic Lovesong,TECHNIKA 2,TECHNIKA 2,DINY,136,2020/09/24,2,5,9,3,3,8,11,-,3,7,12,-,4,7,11,-,
Cozy Quilt,TECHNIKA 2,TECHNIKA 2,bermei.inazawa,141,2020/09/24,3,9,-,-,2,7,-,4,3,7,-,5,3,7,12,-,
D2,TECHNIKA 2,TECHNIKA 2,FIRST AID,178,2020/09/24,7,-,14,13,6,9,13,14,7,12,15,-,7,11,15,13,
Dream of Winds,TECHNIKA 2,TECHNIKA 2,XeoN,150,2020/09/24,5,8,12,-,6,10,13,-,4,8,12,12,5,9,12,13,
Dual Strikers,TECHNIKA 2,TECHNIKA 2,7 Sequence,152,2020/09/24,6,8,-,12,6,9,12,-,6,10,13,-,7,10,13,9,
Eternal Fantasy,TECHNIKA 2,TECHNIKA 2,XeoN,127,2020/09/24,2,5,-,-,2,5,-,-,3,5,9,-,3,7,-,2,
La Campanella : Nu Rave,TECHNIKA 2,TECHNIKA 2,cranky,130-178,2020/09/24,6,9,13,9,7,13,-,11,7,-,13,-,7,11,13,10,
Love is Beautiful,TECHNIKA 2,TECHNIKA 2,Electronic Boutique,152,2020/09/24,4,5,7,-,5,8,-,3,4,7,9,-,5,9,-,3,
MonoXide,TECHNIKA 2,TECHNIKA 2,Planetboom,135,2020/09/24,5,9,12,-,6,12,-,-,6,9,12,8,5,12,-,8,
Nova ~Mr.Funky Remix~,TECHNIKA 2,TECHNIKA 2,Mr.Funky,136,2020/09/24,5,7,-,7,6,10,-,6,7,10,12,-,6,-,12,-,
Put'Em Up,TECHNIKA 2,TECHNIKA 2,makou,100,2020/09/24,2,5,8,-,5,9,-,-,3,6,9,-,5,10,-,5,
Puzzler,TECHNIKA 2,TECHNIKA 2,Electronic Boutique,130,2020/09/24,5,-,10,-,4,10,-,4,4,11,-,-,5,9,12,-,
Rage Of Demon,TECHNIKA 2,TECHNIKA 2,NieN,196,2020/09/24,6,11,15,13,8,11,15,-,8,12,15,14,8,13,15,13,
Say it from your heart,TECHNIKA 2,TECHNIKA 2,makou,130,2020/09/24,3,5,10,-,4,8,10,-,3,8,-,5,4,9,-,-,
Sweet Dream,TECHNIKA 2,TECHNIKA 2,Lin-G,140,2020/09/24,4,6,10,-,3,5,8,6,4,7,11,7,5,11,-,-,
The Guilty,TECHNIKA 2,TECHNIKA 2,P'sycho-Remi,155,2020/09/24,4,7,12,-,6,10,13,9,7,12,-,-,7,-,13,11,
Thor ~Extended Mix~,TECHNIKA 2,TECHNIKA 2,XeoN,147,2020/09/24,5,11,14,-,6,10,15,-,6,11,14,-,8,-,14,12,
Trip,TECHNIKA 2,TECHNIKA 2,NieN,114,2020/09/24,1,4,6,2,2,5,8,-,3,5,8,-,3,5,8,-,
XLASHER,TECHNIKA 2,TECHNIKA 2,Hosoe Shinji,160,2020/09/24,4,8,11,-,5,10,13,13,4,8,13,-,6,10,13,-,
Y ~Extended Mix~,TECHNIKA 2,TECHNIKA 2,ND LEE,130,2020/09/24,6,-,12,8,6,10,12,-,6,9,12,-,6,10,13,-,
A Life With You,TECHNIKA 3,TECHNIKA 3,makou,122,2020/09/24,4,-,9,-,4,6,10,-,6,10,12,-,6,12,-,8,
AD2222,TECHNIKA 3,TECHNIKA 3,CROOVE,140,2020/09/24,5,8,11,-,6,9,14,12,6,10,13,12,6,10,12,-,
AD2222 ~Extended Mix~,TECHNIKA 3,TECHNIKA 3,CROOVE,140,2020/09/24,5,10,12,-,6,10,13,-,7,-,13,-,7,10,13,-,
Angel,TECHNIKA 3,TECHNIKA 3,Laurent Newfield & Ravenant,170,2020/09/24,4,9,12,-,6,10,12,-,6,9,13,-,6,10,12,8,
Bamboo on Bamboo,TECHNIKA 3,TECHNIKA 3,Sampling Masters MEGA,200,2020/09/24,8,12,15,13,6,12,15,-,7,12,15,13,8,12,15,-,
Black Swan,TECHNIKA 3,TECHNIKA 3,TAK,116-174,2020/09/24,5,8,12,-,5,11,13,-,5,10,12,13,6,10,14,13,
Dark Prism,TECHNIKA 3,TECHNIKA 3,Tsukasa,149,2020/09/24,7,13,-,-,5,12,13,11,5,11,14,13,6,-,13,-,
Dream Again,TECHNIKA 3,TECHNIKA 3,DINY,140,2020/09/24,2,5,9,-,4,7,-,-,4,7,-,-,3,9,10,-,
EGG,TECHNIKA 3,TECHNIKA 3,Nauts,176,2020/09/24,4,7,10,-,5,10,13,8,5,10,12,-,6,10,13,9,
EGG ~Extended Mix~,TECHNIKA 3,TECHNIKA 3,Nauts,176,2020/09/24,4,7,11,-,6,10,-,-,5,11,13,-,7,13,-,-,
Emblem,TECHNIKA 3,TECHNIKA 3,makou,240,2020/09/24,8,12,14,-,6,9,13,13,8,13,-,12,6,9,14,-,
Fallin' in LUV,TECHNIKA 3,TECHNIKA 3,3rd Coast,132,2020/09/24,3,7,-,3,3,8,10,-,3,6,10,-,5,-,10,4,
Feel Ma Beat,TECHNIKA 3,TECHNIKA 3,NieN,100,2020/09/24,7,11,14,-,9,11,14,-,8,11,14,9,8,11,14,12,
Ghost,TECHNIKA 3,TECHNIKA 3,STi,125,2020/09/24,3,5,9,6,4,-,8,6,4,9,-,-,5,10,12,-,
Give Me 5,TECHNIKA 3,TECHNIKA 3,ND Lee,121,2020/09/24,5,-,10,-,5,9,11,-,5,9,-,-,5,9,11,-,
Heart Beat Part.2,TECHNIKA 3,TECHNIKA 3,ND Lee,156,2020/09/24,2,4,8,4,5,8,-,-,4,-,10,-,6,-,11,-,
Kung-Fu Rider,TECHNIKA 3,TECHNIKA 3,AstroKid,133,2020/09/24,6,9,-,5,6,10,-,9,6,10,-,8,6,10,12,-,
"My Heart,My Soul",TECHNIKA 3,TECHNIKA 3,3rd Coast,123,2020/09/24,2,6,-,-,5,7,-,-,4,7,10,-,4,10,-,-,
Now a NEW Day,TECHNIKA 3,TECHNIKA 3,Sui.Jay,158,2020/09/24,3,7,10,8,5,8,11,-,5,9,11,6,5,8,11,-,
Out of CTRL,TECHNIKA 3,TECHNIKA 3,Mr.Funky,176.1,2020/09/24,7,10,13,12,7,11,-,13,8,13,-,-,6,10,13,11,
Over the Rainbow,TECHNIKA 3,TECHNIKA 3,Tsukasa,190,2020/09/24,7,12,-,12,5,9,12,-,7,10,12,12,7,13,-,-,
Right Back,TECHNIKA 3,TECHNIKA 3,TANUKI,175,2020/09/24,8,11,14,-,8,-,13,-,7,10,14,-,5,10,14,11,
Showdown,TECHNIKA 3,TECHNIKA 3,LeeZu,145,2020/09/24,6,9,13,-,6,8,-,10,5,11,14,-,6,10,13,12,
SigNalize,TECHNIKA 3,TECHNIKA 3,Paul Bazooka,132,2020/09/24,6,8,10,-,7,9,-,10,7,-,12,9,6,10,14,-,
Supernova,TECHNIKA 3,TECHNIKA 3,cranky,165,2020/09/24,5,-,11,-,6,-,12,12,5,9,13,-,6,-,14,13,
Supersonic 2011,TECHNIKA 3,TECHNIKA 3,Planetboom / Sound LAB,148,2020/09/24,6,12,-,12,7,11,-,12,7,12,-,-,5,10,14,-,
Wanna Be Your Lover,TECHNIKA 3,TECHNIKA 3,Laurent Newfield & Ravenant,128,2020/09/24,1,4,7,-,5,8,-,-,4,-,10,-,4,10,-,-,
Xeus,TECHNIKA 3,TECHNIKA 3,XeoN,148,2020/09/24,6,11,13,-,8,11,14,-,7,11,14,13,6,11,14,15,
You & Me,TECHNIKA 3,TECHNIKA 3,NieN,136,2020/09/24,3,5,7,3,4,8,-,3,3,7,10,-,3,7,10,-,
A Song of Sixpence,TECHNIKA TUNE & Q,TECHNIKA T&Q,makou,135,2022/07/28,3,7,10,5,3,6,10,6,2,4,8,5,3,6,10,5,TECHNIKA TUNE
Back To Life,TECHNIKA TUNE & Q,TECHNIKA T&Q,CROOVE,135,2022/07/28,6,8,11,7,4,8,12,5,3,5,12,7,5,8,12,7,TECHNIKA TUNE
Deborah,TECHNIKA TUNE & Q,TECHNIKA T&Q,Paul Bazooka,132,2022/07/28,5,9,13,9,5,10,13,11,4,7,11,10,6,9,12,10,TECHNIKA Q
Eternal Fantasy (Miya Vocal Mix),TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,127,2022/07/28,3,6,8,3,3,6,9,5,3,5,7,4,3,6,11,6,TECHNIKA Q
Festa Nova,TECHNIKA TUNE & Q,TECHNIKA T&Q,TerraMycin,188-264,2022/07/28,6,10,12,8,5,9,12,8,7,9,12,12,6,10,14,13,TECHNIKA Q
Kal_wrnw,TECHNIKA TUNE & Q,TECHNIKA T&Q,LeeZu,140,2022/07/28,6,11,13,12,6,10,13,11,5,8,12,10,6,8,12,9,TECHNIKA Q
Love☆Panic,TECHNIKA TUNE & Q,TECHNIKA T&Q,hiyong,164,2022/07/28,4,8,10,5,3,7,10,5,5,8,10,6,4,8,11,7,TECHNIKA Q
Luv Yourself,TECHNIKA TUNE & Q,TECHNIKA T&Q,ND Lee,105,2022/07/28,2,7,10,5,3,7,9,5,1,3,9,4,3,7,9,5,TECHNIKA TUNE
Mukilteo Beach,TECHNIKA TUNE & Q,TECHNIKA T&Q,CROOVE,160,2022/07/28,4,6,9,6,3,6,10,6,3,6,8,8,3,8,10,8,TECHNIKA Q
Never Ending TECHNIKA,TECHNIKA TUNE & Q,TECHNIKA T&Q,Studio LAY-BACK,106,2022/07/28,3,7,10,6,2,5,8,4,3,6,9,8,5,8,11,7,TECHNIKA Q
Renovation,TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,144,2022/07/28,7,10,13,10,6,11,14,13,6,10,13,12,6,9,13,10,TECHNIKA TUNE
Retention,TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,130,2022/07/28,5,8,10,8,3,7,11,10,4,6,11,9,4,7,10,8,TECHNIKA Q
Shining My Boy,TECHNIKA TUNE & Q,TECHNIKA T&Q,AstroKid,133,2022/07/28,1,4,8,3,3,5,8,3,1,4,8,4,3,7,8,4,TECHNIKA TUNE
Silent Clarity,TECHNIKA TUNE & Q,TECHNIKA T&Q,Tsukasa,180,2022/07/28,5,8,13,10,6,9,13,9,6,8,12,12,6,9,13,10,TECHNIKA TUNE
Starlight Garden,TECHNIKA TUNE & Q,TECHNIKA T&Q,vneld,162,2022/07/28,4,8,10,6,4,8,11,5,4,7,11,7,4,7,11,6,TECHNIKA Q
Take on Me,TECHNIKA TUNE & Q,TECHNIKA T&Q,Cuve,128,2022/07/28,5,8,12,7,5,7,12,7,3,6,11,9,4,8,12,7,TECHNIKA TUNE
The MAX,TECHNIKA TUNE & Q,TECHNIKA T&Q,ND Lee,120,2022/07/28,3,8,10,6,3,6,9,5,4,7,10,8,4,8,11,8,TECHNIKA TUNE
Thor (Deepin' Absonant Mix),TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,147,2022/07/28,5,9,14,10,4,10,14,11,5,8,12,11,5,11,14,13,TECHNIKA Q
VORTEX,TECHNIKA TUNE & Q,TECHNIKA T&Q,Electronic Boutique,145,2022/07/28,4,11,13,10,5,11,13,11,6,10,12,11,4,9,13,11,TECHNIKA Q
Break a Spell,標準,COLLABORATION,Daisuke Ishiwatari,200,2020/05/21,5,9,14,-,6,10,-,11,7,9,14,12,7,10,14,-,コラボ(GUILTY GEAR Xrd REV 2)
Holy Orders (Be Just Or Be Dead),標準,COLLABORATION,Daisuke Ishiwatari,120,2020/05/21,4,9,11,8,6,8,11,-,6,9,12,-,6,10,11,10,コラボ(GUILTY GEAR 2 -OVERTURE-)
Marionette,標準,COLLABORATION,Daisuke Ishiwatari,136,2020/05/21,5,9,13,-,7,12,-,12,6,10,13,12,8,-,13,-,コラボ(GUILTY GEAR Xrd -SIGN-)
Cyberozar,CHUNITHM,COLLABORATION,sakuzyo,186,2020/12/10,5,-,12,-,6,11,-,11,5,-,13,11,9,-,14,-,
Garakuta Doll Play,CHUNITHM,COLLABORATION,t+pazolite,128,2020/12/10,6,13,-,14,9,12,15,-,8,-,15,14,7,12,15,12,初出はmaimai
Ikazuchi,CHUNITHM,COLLABORATION,Takenobu Mitsuyoshi,200,2020/12/10,8,-,15,-,8,-,15,15,6,13,15,14,7,13,15,14,
Ray Tuning,CHUNITHM,COLLABORATION,NayutalieN,190,2020/12/10,5,12,-,11,6,13,-,-,6,13,-,9,7,13,-,-,
The wheel to the right,CHUNITHM,COLLABORATION,Sampling Masters MEGA,200,2020/12/10,6,11,14,-,7,13,-,12,6,12,15,12,6,13,15,-,
Trrricksters!!,CHUNITHM,COLLABORATION,s-don vs. Hino Isuka,155,2020/12/10,6,-,14,13,8,13,15,-,8,12,15,13,8,13,15,14,
AXION,CYTUS,COLLABORATION,sakuzyo,160,2020/07/16,4,-,12,-,5,12,-,9,5,11,13,12,5,13,-,-,初出はBMS(WirePuller2)
CODE NAME: ZERO,CYTUS,COLLABORATION,NeLiME,185~200,2020/07/16,5,12,-,12,6,12,15,-,5,12,13,13,6,12,14,-,Cytus
conflict,CYTUS,COLLABORATION,Cranky + siromaru,160,2020/07/16,5,11,14,-,6,12,-,13,4,11,14,13,7,11,14,-,初出はBMS(BOF2011)
EMber,CYTUS,COLLABORATION,SIHanatsuka,145.12,2020/07/16,5,12,-,-,6,10,-,12,4,10,13,-,6,12,15,12,CytusII
Entrance,CYTUS,COLLABORATION,Ice,180,2020/07/16,7,-,15,-,7,13,-,-,9,-,15,14,6,12,15,14,Cytus
L,CYTUS,COLLABORATION,Ice,155,2020/07/16,3,12,-,12,5,-,14,-,6,12,15,14,8,-,15,13,初出はBMS(BOF2012)
Les Parfums de L'Amour,CYTUS,COLLABORATION,naotyu-,138~240,2020/07/16,4,-,13,-,7,-,13,-,5,-,12,-,8,14,-,-,Cytus
Mammal,CYTUS,COLLABORATION,Teikyou,190,2020/07/16,6,12,15,-,6,12,15,13,6,12,14,-,8,12,15,13,CytusII
Myosotis,CYTUS,COLLABORATION,M2U,160,2020/07/16,5,10,13,-,6,12,-,10,5,10,13,-,7,-,14,12,初出はDEEMO
Old Gold,CYTUS,COLLABORATION,Cranky,155,2020/07/16,6,11,-,6,6,11,13,-,5,10,13,-,6,11,13,10,Cytus
Shoot out,CYTUS,COLLABORATION,Tsukasa,140,2020/07/16,3,8,12,-,4,11,13,-,4,10,13,-,5,9,13,-,Cytus
Ververg,CYTUS,COLLABORATION,onoken,190,2020/07/16,4,-,9,4,4,-,12,8,4,10,-,-,4,12,-,-,Cytus
Angelic Sphere,DEEMO,COLLABORATION,3R2,143,2020/07/16,4,9,13,8,5,10,13,-,4,8,13,11,6,9,12,-,
ANiMA,DEEMO,COLLABORATION,xi,183.5,2020/07/16,6,9,14,13,8,13,15,13,7,13,15,15,8,12,15,-,
Dream,DEEMO,COLLABORATION,Rabpit,150,2020/07/16,2,-,8,-,3,-,10,-,2,-,11,-,5,8,11,-,
Legacy,DEEMO,COLLABORATION,switchworks,120,2020/07/16,3,7,9,-,4,8,-,-,4,8,-,4,4,8,11,4,
Magnolia,DEEMO,COLLABORATION,M2U,160,2020/07/16,6,10,13,9,6,10,11,8,6,11,13,8,7,11,13,-,
Nine point eight,DEEMO,COLLABORATION,Mili,164,2020/07/16,5,8,12,-,5,9,12,5,6,9,12,-,7,11,-,8,
Sairai,DEEMO,COLLABORATION,Shinichi Kobayashi,95,2020/07/16,3,-,8,4,3,6,9,-,5,-,9,3,5,7,12,-,
Undo,DEEMO,COLLABORATION,Yuk-cheung Chun,141,2020/07/16,4,9,-,-,5,7,10,-,4,7,10,-,4,8,10,-,
Utopiosphere,DEEMO,COLLABORATION,Mili,176,2020/07/16,4,6,10,-,4,8,-,4,4,8,12,-,5,11,-,3,
YUBIKIRI-GENMAN,DEEMO,COLLABORATION,Mili,146,2020/07/16,5,10,-,-,5,-,11,-,4,-,10,-,4,-,10,3,
HELIX,ESTIMATE,COLLABORATION,ESTi,175,2021/07/22,6,-,12,-,7,10,13,13,7,10,13,12,6,11,13,12,O2Jam
In My Heart ~ESTi Remix~,ESTIMATE,COLLABORATION,ESTi,128,2021/07/22,4,9,-,5,5,11,-,-,5,10,-,6,6,10,-,4,アルバム「The Clear Blue Sky」収録
Obelisque,ESTIMATE,COLLABORATION,ESTi & M2U,130,2021/07/22,7,-,12,-,6,10,13,8,7,10,12,9,7,11,13,11,O2Jam
pit-a-pet,ESTIMATE,COLLABORATION,TAK / seibin,116,2021/07/22,3,7,-,5,5,9,12,7,5,9,-,-,6,-,11,-,版権(ESTIMATE)
U-NIVUS,ESTIMATE,COLLABORATION,ESTi,130,2021/07/22,5,9,-,5,5,11,-,5,4,11,-,-,6,11,-,-,O2Jam
Black MInD,GROOVE COASTER,COLLABORATION,COSIO,192,2020/04/14,5,9,14,-,6,12,14,-,6,12,14,14,5,12,14,12,
"Good Night, Bad Luck.",GROOVE COASTER,COLLABORATION,t+pazolite,142.5,2020/04/14,5,-,13,-,6,11,14,13,8,11,14,-,7,12,14,13,
Got more raves?,GROOVE COASTER,COLLABORATION,E.G.G.,133,2020/04/14,4,7,12,-,6,10,13,12,5,10,12,12,6,10,13,-,
Groove Prayer,GROOVE COASTER,COLLABORATION,COSIO,190,2020/04/14,3,5,8,11,5,8,11,-,5,-,11,-,4,9,11,7,
HB-axeleration,GROOVE COASTER,COLLABORATION,Tsukasa Yatoki,158,2020/04/14,2,6,12,-,4,8,12,-,4,11,-,-,6,9,12,-,
"Marry me, Nightmare",GROOVE COASTER,COLLABORATION,t+pazolite,114-142,2020/04/14,6,11,13,-,7,-,14,13,7,11,13,13,8,12,14,-,
ouroboros -twin stroke of the end-,GROOVE COASTER,COLLABORATION,Cranky VS MASAKI,188,2020/04/14,7,12,15,14,7,13,15,14,8,13,15,15,8,12,15,-,
OVER THE NIGHT,GROOVE COASTER,COLLABORATION,REDALiCE,175,2020/04/14,5,8,-,9,6,9,-,-,5,-,11,12,7,12,-,-,
Satisfiction,GROOVE COASTER,COLLABORATION,t+pazolite,195,2020/04/14,5,8,-,8,6,9,11,8,7,11,14,-,5,10,13,-,
Warrior,GROOVE COASTER,COLLABORATION,Cranky,170,2020/04/14,7,11,14,-,5,11,15,-,6,11,14,13,6,11,14,13,
Barbarous Funera,GIRLS' FRONTLINE,COLLABORATION,Rikako Watanabe (Basiscape),140,2020/12/10,4,8,11,-,5,9,12,-,6,9,12,12,7,-,13,11,
Frontline,GIRLS' FRONTLINE,COLLABORATION,B@kamin / M2U,198,2020/12/10,4,8,12,-,6,10,-,8,6,10,-,11,6,9,13,-,
What am I fighting for?,GIRLS' FRONTLINE,COLLABORATION,Haloweak,175,2020/12/10,3,7,-,8,4,10,-,11,4,-,12,-,6,12,-,-,
恋のMoonlight,MUSE DASH,COLLABORATION,REDALiCE,128,2022/04/28,3,8,12,3,5,8,11,6,2,6,11,4,5,11,-,3,
Bang!!,MUSE DASH,COLLABORATION,BOOGEY VOXX,130,2022/04/28,3,10,-,6,4,7,11,-,3,8,-,8,5,10,12,6,版権
can you feel it,MUSE DASH,COLLABORATION,MK,128,2022/04/28,4,8,12,5,5,11,-,6,2,5,9,6,6,11,-,7,版権
Comet Coaster,MUSE DASH,COLLABORATION,DJ Noriken & aran,180,2022/04/28,4,10,13,12,6,9,13,13,4,8,12,13,7,12,14,13,
Cthugha,MUSE DASH,COLLABORATION,USAO,213,2022/04/28,5,12,15,14,8,12,15,14,6,10,15,14,8,12,15,14,
DataErr0r,MUSE DASH,COLLABORATION,Cosmograph,180,2022/04/28,6,11,13,10,7,-,14,13,5,8,13,12,7,12,15,-,初出はBMS(BOFU2015)
Dysthymia,MUSE DASH,COLLABORATION,a_hisa,190,2022/04/28,5,11,14,12,6,10,15,-,6,11,14,13,6,12,15,13,版権
ENERGY SYNERGY MATRIX,MUSE DASH,COLLABORATION,Tanchiky,160,2022/04/28,6,11,14,13,6,10,14,13,5,10,14,-,6,11,14,11,初出はBMS(BOFU2017)
Lights of Muse,MUSE DASH,COLLABORATION,Ayatsugu_Otowa,180,2022/04/28,7,12,14,13,7,11,14,13,5,8,13,14,8,12,15,13,
MUSEDASH!!!!,MUSE DASH,COLLABORATION,Dan@Yomi,145,2022/04/28,4,-,12,6,5,8,-,5,4,6,11,9,6,10,12,11,
Pancake is Love,MUSE DASH,COLLABORATION,3R2,155,2022/04/28,5,8,10,-,7,12,-,3,4,7,-,4,5,10,12,-,
PUPA,MUSE DASH,COLLABORATION,Morimori Atsushi,202,2022/04/28,7,12,15,15,7,12,15,15,7,11,14,15,10,13,15,14,初出はBMS(G2R2014)
tape/stop/night,MUSE DASH,COLLABORATION,Sugar & Co.,115,2022/04/28,3,10,-,-,5,11,-,6,2,7,-,5,5,8,12,5,
The 90's Decision,MUSE DASH,COLLABORATION,MYUKKE.,128,2022/04/28,5,11,13,6,6,11,13,9,5,9,12,-,6,11,13,9,
XING,MUSE DASH,COLLABORATION,ginkiha,177,2022/04/28,5,10,12,12,6,10,14,-,8,11,-,12,5,10,13,9,
Alliance x Empire,NEXON,COLLABORATION,NEXON,160,2021/10/28,4,9,-,-,4,8,12,10,6,11,-,-,7,13,-,-,AxE(FAITH/Alliance vs Empire)
An old story from Grandma,NEXON,COLLABORATION,HanStone,120,2021/10/28,2,9,-,2,6,10,-,3,4,9,-,-,5,9,-,-,マビノギ
Apparition,NEXON,COLLABORATION,ESTi,55~135,2021/10/28,2,4,9,7,7,11,-,-,6,12,-,9,7,10,12,9,テイルズウィーバー
Buyeo Fortress ~Blosso Remix~,NEXON,COLLABORATION,Blosso,160,2021/10/28,7,10,12,-,5,10,13,-,7,10,12,11,8,13,-,8,風の王国
Constant Moderato,NEXON,COLLABORATION,Mitsukiyo,112,2021/10/28,5,9,-,-,3,7,10,5,6,10,-,-,4,-,12,5,ブルーアーカイブ
Cromm Cruaich,NEXON,COLLABORATION,Studio EIM,160,2021/10/28,6,-,11,-,6,11,15,-,5,11,-,-,8,12,15,13,マビノギ英雄伝
It's my war now,NEXON,COLLABORATION,Kim Dong Hyun,175,2021/10/28,8,-,13,9,7,11,14,10,7,-,14,-,7,12,14,-,アラド戦記
Kartrider Mashup ~Cosmograph Remix~,NEXON,COLLABORATION,Cosmograph,180,2021/10/28,6,10,-,11,8,11,14,14,7,10,12,-,8,12,15,13,カートライダー
Kartrider Mashup ~Pure100% Remix~,NEXON,COLLABORATION,Pure100%,160,2021/10/28,6,-,13,13,6,10,13,-,7,9,13,9,7,-,14,-,カートライダー
"Kartrider, Crazyarcade, Bubblefighter Main theme ~CHUCK Remix~",NEXON,COLLABORATION,CHUCK,160,2021/10/28,4,9,-,13,7,11,14,13,7,-,13,-,8,-,13,-,カートライダー/クレイジーアーケード(BnB)/Bubble Fighter
"Lacheln, The City of Dreams",NEXON,COLLABORATION,NEXON,212,2021/10/28,5,7,-,-,6,11,-,-,6,-,11,7,4,10,-,4,メイプルストーリー
Lugh Lamhfada,NEXON,COLLABORATION,Studio EIM,200,2021/10/28,6,10,-,11,6,9,13,-,5,11,-,-,6,11,14,11,マビノギ英雄伝
Reminiscence,NEXON,COLLABORATION,Nauts,95,2021/10/28,3,5,10,-,4,9,12,-,5,11,-,6,4,9,12,5,テイルズウィーバー
Start The Adventure ~SOPHI Remix~,NEXON,COLLABORATION,SOPHI,165,2021/10/28,3,8,-,9,5,-,13,10,6,-,12,-,4,11,-,-,メイプルストーリー
Tayberrs - Collapsed Paradise,NEXON,COLLABORATION,Jung Young Gul,164-174,2021/10/28,3,7,12,-,5,-,11,-,6,-,12,8,7,12,-,-,アラド戦記
The Final Dance,NEXON,COLLABORATION,HanStone,120,2021/10/28,6,12,-,-,6,10,13,9,5,9,13,9,6,10,14,11,マビノギ
The Little Adventurer,NEXON,COLLABORATION,Studio EIM,98,2021/10/28,4,7,-,3,7,9,-,3,6,10,-,-,3,10,-,-,メイプルストーリー2
The Raindrop Flower ~jam-jam Remix~,NEXON,COLLABORATION,jam-jam,133,2021/10/28,7,12,-,9,6,11,13,9,6,-,13,-,6,11,13,-,メイプルストーリー
The Siege warfare ~Pierre Blanche Remix~,NEXON,COLLABORATION,Pierre Blanche,182,2021/10/28,7,11,14,-,7,12,14,-,7,12,14,12,7,13,-,10,風の王国
Where Legend Begin ~VoidRover Remix~,NEXON,COLLABORATION,VoidRover,184,2021/10/28,8,-,15,13,7,13,15,-,7,13,15,14,8,-,14,13,闇の伝説
Young Adventurer ~SiNA Remix~,NEXON,COLLABORATION,SiNA,137-150,2021/10/28,4,8,13,-,6,9,13,12,7,9,12,12,7,12,-,-,マビノギ
